timestamp,cpu_usage,ram_usage,disk_usage,disk_read,disk_write,battery_percent,process_count,heavy_process_count
2026-01-18 00:05:35,22.3,78.6,10.2,1026560,56840192,80,275,11
2026-01-18 00:06:11,31.8,76.3,10.2,21233664,15310848,80,273,9
2026-01-18 00:06:47,38.8,77.5,10.2,867840,6389760,81,272,6
2026-01-18 00:07:21,35.8,77.4,10.2,28844544,28475392,81,271,9
2026-01-18 00:07:57,45.3,78.2,10.2,497664,27738112,82,270,8
2026-01-18 00:08:32,25.6,78.6,10.2,60333568,5349376,82,273,7
2026-01-18 00:09:07,35.4,77.4,10.2,704512,27471872,82,272,11
2026-01-18 00:09:43,48.2,78.2,10.2,1253376,36630528,83,275,12
2026-01-18 00:10:18,30.0,78.7,10.2,8081920,19357696,83,275,10
2026-01-18 00:10:54,52.0,79.0,10.2,2303488,15052800,83,277,12
2026-01-18 00:11:30,34.8,78.6,10.2,536576,5554176,84,277,9
2026-01-18 00:12:06,34.7,78.5,10.2,339968,6299648,84,281,8
2026-01-18 00:12:43,34.5,79.1,10.2,1595392,15491072,85,278,7
2026-01-18 00:13:19,32.1,77.6,10.2,196608,42602496,85,274,9
2026-01-18 00:13:55,29.2,77.3,10.2,528384,21045248,86,276,8
2026-01-18 00:14:31,26.1,78.9,10.2,212992,5709824,86,276,9
2026-01-18 00:15:07,36.6,77.8,10.2,440320,13176832,86,275,11
2026-01-18 00:15:43,39.2,80.5,10.2,4438016,9048064,86,274,9
2026-01-18 00:16:19,31.5,79.3,10.2,176128,29081600,87,273,12
2026-01-18 00:16:54,30.6,79.0,10.2,352256,13856768,87,273,14
2026-01-18 00:17:30,35.5,79.6,10.2,232448,25022464,87,273,10
2026-01-18 00:18:06,30.5,81.7,10.2,1032192,4239360,88,274,14
2026-01-18 00:18:42,39.2,81.0,10.2,756224,30896128,88,274,9
2026-01-18 00:19:18,44.8,83.1,10.2,16999424,18661376,88,280,11
2026-01-18 00:19:54,42.8,82.6,10.2,35011584,9621504,89,282,14
2026-01-18 00:20:31,38.3,82.7,10.2,948736,25579520,89,282,10
2026-01-18 00:21:08,35.8,83.1,10.2,86016,4698112,89,282,12
2026-01-18 00:21:45,26.2,81.7,10.2,516096,14798848,89,283,7
2026-01-18 00:22:22,20.6,82.1,10.2,1093632,15298560,90,282,11
2026-01-18 00:22:59,19.0,82.2,10.2,651264,7565312,90,281,10
2026-01-18 00:23:35,37.4,84.9,10.2,6136832,10510336,90,287,15
2026-01-18 00:24:13,36.9,82.3,10.2,1884672,51077120,91,282,11
2026-01-18 00:24:51,31.1,82.6,10.2,1067520,4235264,91,282,7
2026-01-18 00:25:28,18.0,82.6,10.2,401408,32256000,91,279,6
2026-01-18 00:26:05,29.9,82.8,10.2,1885184,16052224,91,283,8
2026-01-18 00:26:41,39.8,83.8,10.2,42891776,5279744,92,282,8
2026-01-18 00:27:18,29.0,84.2,10.2,13955072,18412032,92,281,6
2026-01-18 00:27:54,28.3,84.4,10.2,1875968,7991296,92,281,11
2026-01-18 00:28:31,20.7,81.6,10.2,6360064,17584128,92,282,6
2026-01-18 00:29:09,25.7,82.4,10.2,12894208,37097472,92,284,10
2026-01-18 00:29:46,25.8,82.9,10.2,618496,4734976,93,282,7
